,0,1,2,3,4,5,6
222,14.从你的全世界路过,爱情,81417,31,22,中国,2016-09-29
223,15.X战警：天启,动作,80284,34,23,美国,2016-06-03
224,16.北京遇上西雅图之不二情书,爱情,78675,34,24,中国/中国香港,2016-04-29
225,17.叶问3,动作,77028,39,23,中国/中国香港,2016-03-04
226,18.奇异博士,奇幻,75165,35,18,美国,2016-11-04
227,19.唐人街探案,喜剧,68262,32,31,中国,2015-12-31
228,20.寒战2,动作,67819,37,27,中国香港/中国,2016-07-08
229,21.惊天魔盗团2,动作,63890,33,27,美国,2016-06-24
230,22.蝙蝠侠大战超人：正义黎明,动作,61908,36,23,美国,2016-03-25
231,23.使徒行者,动作,60624,29,24,中国香港/中国,2016-08-11
232,24.神奇动物在哪里,奇幻,58921,35,21,美国/英国,2016-11-25
233,25.你的名字。,动画,56592,28,22,日本,2016-12-02
234,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
235,1.战狼2,动作,567875,36,38,中国,2017-07-27
236,2.速度与激情8,动作,267096,37,30,美国,2017-04-14
237,3.羞羞的铁拳,喜剧,220175,33,25,中国,2017-09-30
238,4.功夫瑜伽,喜剧,175260,38,33,印度/中国,2017-01-28
239,5.西游伏妖篇,奇幻,165593,39,36,中国香港/中国,2017-01-28
240,6.变形金刚5：最后的骑士,动作,155124,37,23,美国,2017-06-23
241,7.摔跤吧！爸爸,喜剧,129912,30,22,印度,2017-05-05
242,8.芳华,战争,118754,34,28,中国,2017-12-15
243,9.加勒比海盗5：死无对证,动作,117991,36,22,美国,2017-05-26
244,10.金刚：骷髅岛,动作,116050,35,20,美国,2017-03-24
245,11.寻梦环游记,动画,115251,34,18,美国,2017-11-24
246,12.极限特工：终极回归,动作,112741,36,23,美国,2017-02-10
247,13.生化危机：终章,科幻,111182,35,20,美国/德国,2017-02-24
248,14.乘风破浪,剧情,104853,36,27,中国,2017-01-28
249,15.神偷奶爸3,动画,103780,34,20,美国,2017-07-07
250,16.蜘蛛侠：英雄归来,动作,77414,35,16,美国,2017-09-08
251,17.大闹天竺,喜剧,75793,36,31,中国,2017-01-28
252,18.雷神3：诸神黄昏,动作,74303,35,15,美国,2017-11-03
253,19.猩球崛起3：终极之战,动作,73978,35,16,美国,2017-09-15
254,20.金刚狼3：殊死一战,动作,73163,32,16,美国,2017-03-03
255,21.悟空传,奇幻,69653,36,17,中国,2017-07-13
256,22.正义联盟,动作,69008,35,13,美国,2017-11-17
257,23.银河护卫队2,科幻,68611,37,17,美国,2017-05-05
258,24.新木乃伊,动作,62560,35,16,美国,2017-06-09
259,25.神奇女侠,动作/奇幻,61010,36,16,美国,2017-06-02
260,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
261,1.红海行动,动作,364727,39,33,中国香港/中国,2018-02-16
262,2.唐人街探案2,喜剧,339666,39,39,中国,2018-02-16
263,3.捉妖记2,喜剧,223666,38,44,中国香港/中国,2018-02-16
264,4.复仇者联盟3：无限战争,动作,214954,39,23,美国,2018-05-11
265,5.前任3：再见前任,喜剧,164544,35,27,中国,2017-12-29
266,6.头号玩家,科幻,139527,36,18,美国,2018-03-30
267,7.后来的我们,爱情,135325,34,21,中国,2018-04-28
268,8.狂暴巨兽,动作,98884,35,14,美国,2018-04-13
269,9.无问西东,爱情,75395,31,18,中国,2018-01-12
270,10.神秘巨星,剧情,74676,30,17,印度,2018-01-19
271,11.西游记女儿国,喜剧,72721,40,33,中国香港/中国,2018-02-16
272,12.黑豹,动作,66227,36,17,美国,2018-03-09
273,13.环太平洋2：雷霆再起,科幻,63264,35,13,美国,2018-03-23
274,14.熊出没·变形记,动画,60532,36,30,中国,2018-02-16
275,15.超时空同居,奇幻,54952,33,16,中国,2018-05-18
276,16.古墓丽影：源起之战,动作,49696,35,14,美国,2018-03-16
277,17.勇敢者游戏：决战丛林,动作,49166,34,18,美国,2018-01-12
278,18.厉害了，我的国,纪录片,47886,32,27,中国,2018-03-02
279,19.幕后玩家,剧情,35748,35,13,中国,2018-04-28
280,20.移动迷宫3：死亡解药,动作,31518,35,12,美国,2018-01-26
281,21.小萝莉的猴神大叔,喜剧,28544,31,17,印度,2018-03-02
282,22.星球大战：最后的绝地武士,科幻,26782,37,14,美国,2018-01-05
283,23.芳华,战争,23487,34,15,中国,2017-12-15
284,24.南极之恋,爱情,23436,32,11,中国,2018-02-01
285,25.起跑线,剧情,21018,31,10,印度,2018-04-04
